,name,party,election_districts,candidate_id,gen10,gen14,sta10,sta14,dob,link,
24,"COLLINS, CHRISTOPHER C",REP,27,H8NY29032,,1,,I,5/20/1950,https://ballotpedia.org/Chris_Collins_(New_York),
130,"COX, CHRISTOPHER N",REP,,H0NY00063,0,0,,,,,
14,"CROWLEY, JOSEPH",DEM,"7,14",H8NY07046,1,1,I,I,3/16/1962,https://ballotpedia.org/Joseph_Crowley,
112,"DANZ, THEODORE J JR",REP,21,H0NY21077,1,,C,,6/27/1947,https://votesmart.org/candidate/biography/127043/ted-danz-jr,
111,"DAY, CHRIS",REP,17,H4NY17135,,1,,C,6/30/1985,https://www.lohud.com/story/news/local/rockland/orangetown/2017/01/30/orangetown-supervisor-race/97242202/,Article says age
91,"DEAN, TIMOTHY MICHAEL",IND,,H4NY25047,,,,,,,
27,"DEMOS, GEORGE",REP,,H0NY01137,0,0,,,,,
86,"DI CARLO, NEIL ANTHONY",REP,,H0NY19154,,,,,,,
67,"DI IORIO, NICHOLAS S",REP,12,H4NY12052,,1,,C,6/30/1987,https://www.usnews.com/news/articles/2014/06/10/identical-twins-except-when-it-comes-to-politics,Article said age
64,"DILAN, ERIK MARTIN",DEM,,H2NY12148,0,0,,,,,
123,"DILEO, DAVID",IND,,H0NY02150,0,0,,,,,
65,"DOHENY, MATTHEW A",REP,23,H0NY23057,1,0,C,,6/30/1971,http://www.syracuse.com/news/index.ssf/2014/07/matt_doheny_endorses_rival_elise_stefanik_for_congress_in_ny-21.html,Article says age
95,"ELDRIDGE, SEAN",DEM,19,H4NY19115,,1,,C,7/31/1986,https://en.wikipedia.org/wiki/Sean_Eldridge,
51,"ENGEL, ELIOT L.",DEM,"17,16",H8NY19058,1,2,I,I,2/15/1947,https://ballotpedia.org/Eliot_Engel,
60,"ESPAILLAT, ADRIANO",DEM,,H2NY13096,,,,,,,
83,"FAULKNER , MICHEL",REP,15,H0NY15111,1,,C,,5/21/1957,https://en.wikipedia.org/wiki/Michel_Faulkner,
15,"FERNANDEZ, JOSE LUIS",REP,7,H4NY07110,0,1,,C,6/15/1978,https://ballotpedia.org/Jos%C3%A9_Luis_Fern%C3%A1ndez,
85,"FISCHER, JAMES M",REP,20,H4NY20121,,1,,C,6/30/1960,http://www.troyrecord.com/government-and-politics/20140311/republican-jim-fischer-launches-congressional-campaign-for-ny-district-20,Article says age
42,"FITZPATRICK, MICHAEL J",REP,,H0NY01160,0,0,,,,,
76,"FUNICIELLO, MATTHEW J",GRE,21,H4NY21111,,1,,O,NA,,
78,"GIBSON, CHRISTOPHER P",REP,"20,19",H0NY20095,1,1,O,I,5/13/1964,https://ballotpedia.org/Chris_Gibson,
73,"GILLIBRAND, KIRSTEN ELIZABETH MRS.",DEM,,H6NY20167,,,,,,,
129,"GOMEZ, JOHN B MR.",REP,,H0NY02184,1,0,C,,NA,,
122,"GRIMM, MICHAEL",REP,"13,11",H0NY13074,1,1,I,I,2/7/1970,https://ballotpedia.org/Michael_Grimm,
16,"HALL, JOHN JOSEPH",DEM,19,H6NY19144,1,,I,,7/23/1948,https://en.wikipedia.org/wiki/John_Hall_(New_York_politician),
61,"HAMILTON, IAN",DEM,,H4NY06021,0,0,,,,,
52,"HANNA, RICHARD L.",REP,"24,22",H8NY24066,1,2,C,I,1/25/1951,https://ballotpedia.org/Richard_Hanna,
116,"HARPER, DAVID A",REP,,H0NY20087,,,,,,,
110,"HAYWORTH, NAN",REP,"19,18",H0NY19139,1,1,C,C,12/15/1959,https://ballotpedia.org/Nan_Hayworth,
62,"HEALY, TIMOTHY J",REP,,H0NY14221,,,,,,,
13,"HIGGINS, BRIAN",DEM,"27,26",H4NY27076,1,1,,I,10/6/1959,https://ballotpedia.org/Brian_Higgins,
6,"HINCHEY, MAURICE D",DEM,22,H2NY26080,1,,I,,10/27/1938,https://ballotpedia.org/Maurice_Hinchey,
30,"HIRSCHFELD, BRUCE",DEM,,H0NY12142,,,,,,,
57,"HOFFMAN, DOUGLAS L. MR.",REP,,H0NY23107,,,,,,,
68,"ISRAEL, STEVE J.",DEM,"2,3",H0NY02085,1,1,I,I,5/30/1958,https://ballotpedia.org/Steve_Israel,
66,"JEFFRIES, HAKEEM",DEM,8,H2NY10092,0,2,,I,8/4/1970,https://ballotpedia.org/Hakeem_Jeffries,
11,"JOHNSON, JOYCE STANLEY",DEM,,H0NY15129,,,,,,,
126,"KATKO, JOHN M",REP,24,H4NY24073,,1,,C,11/9/1962,https://en.wikipedia.org/wiki/John_Katko,
28,"KING, PETE",REP,"2,3",H2NY03089,1,1,I,I,4/5/1944,https://ballotpedia.org/Peter_King,
103,"KLEINHANDLER, YORK JAY",REP,,H0NY17133,,,,,,,
84,"KONE, SUSAN",REP,8,H0NY08082,1,0,C,,NA,,
105,"KUDLER, HOWARD ",DEM,3,H0NY03042,1,0,C,,6/30/1954,https://patch.com/new-york/glencove/king-kudler-face-off-in-3rd-congressional-district-5,Article said he was 56 days before the election
80,"KURZON, JEFFREY MEAD",DEM,,H4NY07102,0,0,,,,,
108,"LABATE, STEPHEN A",REP,,H0NY02176,0,0,,,,,
79,"LALLY, GRANT M",REP,3,H4NY03077,0,1,,C,6/30/1962,https://www.newsday.com/long-island/politics/spin-cycle/grant-lally-to-face-doc-spencer-for-suffolk-leg-seat-1.10614778,Article said age
36,"LAVERGHETTA, DINO",REP,,H0NY14197,,,,,,,
46,"LEE, CHRISTOPHER J.",REP,26,H8NY26095,1,,I,,4/1/1964,https://en.wikipedia.org/wiki/Chris_Lee_(New_York_politician),
75,"LEMONDES, JOHN",REP,,H4NY24107,,,,,,,
25,"LOWEY, NITA M",DEM,"18,16",H8NY20056,1,1,I,I,2/15/1937,https://ballotpedia.org/Nita_Lowey,
39,"MAFFEI, DANIEL BENJAMIN MR.",DEM,"25,24",H6NY25125,1,1,I,I,7/4/1968,https://ballotpedia.org/Dan_Maffei,
49,"MAHER, PATRICIA M",DEM,2,H8NY04050,0,1,,C,9/22/1959,https://votesmart.org/candidate/biography/23040/patricia-maher,
93,"MALONEY, CAROLYN B.",DEM,"14,12",H2NY14037,1,1,I,I,2/19/1946,https://ballotpedia.org/Carolyn_Maloney,
26,"MALONEY, SEAN PATRICK",DEM,18,H2NY22139,0,1,,I,7/30/1966,https://ballotpedia.org/Sean_Maloney,
44,"MARTINEZ, GEORGE",DEM,,H0NY12159,,,,,,,
127,"MASSA, ERIC JJ",DEM,,H6NY29168,,,,,,,
99,"MCCARTHY, CAROLYN",DEM,4,H6NY04112,1,0,I,,1/5/1944,https://ballotpedia.org/Carolyn_McCarthy,
71,"MCFADDEN, DAVID C",UNK,,H0NY19147,,,,,,,
17,"MCHUGH, JOHN M",REP,,H2NY24036,,,,,,,
19,"MCMAHON, MICHAEL E. MR.",DEM,13,H8NY13077,1,,I,,9/12/1957,https://en.wikipedia.org/wiki/Michael_McMahon,
32,"MEEKS, GREGORY W.",DEM,"6,5",H8NY06048,1,2,I,I,9/5/1953,https://ballotpedia.org/Gregory_Meeks,
128,"MELE, ANTHONY",REP,16,H0NY17125,1,,C,,9/3/1958,https://votesmart.org/candidate/biography/127037/tony-mele,
12,"MENG, GRACE",DEM,6,H2NY06116,0,2,,I,10/1/1975,https://ballotpedia.org/Grace_Meng,
98,"MILANO, JAMES",REP,5,H0NY05062,1,0,C,,6/30/1967,https://nypost.com/2010/10/21/milano-lays-out-his-plan-to-help-queens-residents/,Article says age
120,"MORGAN, VINCENT SCOTT",DEM,,H0NY15103,,,,,,,
87,"MURPHY, SCOTT M",DEM,20,H0NY20079,1,,O,,1/26/1970,https://en.wikipedia.org/wiki/Scott_Murphy,
104,"NADLER, JERROLD L.",DEM,"8,10",H2NY17071,1,1,I,I,6/13/1947,https://ballotpedia.org/Jerrold_Nadler,
34,"O'DONNELL, JAMES D.",DEM,27,H4NY27118,,1,,C,NA,,
58,"OWENS, WILLIAM",DEM,23,H0NY23081,1,,I,,1/20/1949,https://ballotpedia.org/Bill_Owens,
,"Perri, Elizabeth",CON,,,,,,,NA,,
7,"PHILLIPS, GEORGE K",REP,22,H8NY22102,1,,C,,6/30/1976,https://www.ourcampaigns.com/CandidateDetail.html?CandidateID=192462,From HS graduation
102,"POWELL, ADAM CLAYTON IV",DEM,,H4NY15071,,,,,,,
4,"POWELL, KEVIN",DEM,,H6NY10093,0,0,,,,,
3,"PREVIDI, ROBERT",REP,,H8NY03045,0,0,,,,,
114,"RANGEL, CHARLES B",DEM,"15,13",H6NY19029,1,1,I,I,6/11/1930,https://ballotpedia.org/Charles_Rangel,
9,"RECCHIA, DOMENIC M JR",DEM,11,H8NY13069,0,1,,C,7/25/1959,https://en.wikipedia.org/wiki/Domenic_Recchia,
109,"REED, THOMAS W",REP,"29,23",H0NY29054,1,1,O,I,11/18/1971,https://ballotpedia.org/Tom_Reed,
1,"REYNOLDS, KENNETH ",REP,7,H0NY07068,1,0,C,,6/30/1956,http://webarchive.loc.gov/all/20101101210204/http://kenforcongressman.com/id4.html,inferred from hs grad date in 1972
38,"RICE, KATHLEEN",DEM,4,H4NY04075,0,1,,O,,,
55,"RING, MICHAEL F",REP,,H4NY21095,,,,,,,
100,"RITACCO, PAUL A",REP,,H0NY27074,,,,,,,
5,"RIVERA, DANIEL VILA",GRE,13,H4NY13076,,1,,C,NA,,
125,"ROBERTO, LEONARD A",REP,27,H0NY27066,1,,C,,NA,,
101,"ROBERTSON, MARTHA",DEM,23,H4NY23067,,1,,C,6/30/1947,http://ezramagazine.cornell.edu/Update/May13/EU.Martha.Robertson.html,Article says age
56,"ROSEN, MARK L",REP,,H0NY18164,,,,,,,
40,"ROSSI, JANE",REP,,H4NY24057,,,,,,,
107,"ROWLAND, JILL ANN",REP,28,H0NY28122,1,,C,,6/30/1970,http://www.complex.com/pop-culture/2011/11/the-50-hottest-women-in-politics/3,Article says age
47,"RUSSELL, JIM",REP,18,H6NY18153,1,,C,,6/30/1954,https://www.nytimes.com/2010/09/27/nyregion/27towns.html,
18,"SALGADO, ERICK J",DEM,,H4NY11179,,,,,,,
90,"SAUJANI, RESHMA M",DEM,,H0NY14189,,,,,,,
35,"SCATURRO, FRANK MR.",REP,,H0NY04057,0,0,,,,,
74,"SCOZZAFAVA, DIERDRE K",REP,,H0NY23065,,,,,,,
10,"SERRANO, JOSE E.",DEM,"16,15",H0NY18065,1,2,,I,10/24/1943,https://ballotpedia.org/Jose_Serrano,
94,"SLAUGHTER, LOUISE",DEM,"28,25",H6NY03031,1,1,I,I,8/14/1929,https://ballotpedia.org/Louise_Slaughter,
97,"SMITH, SCOTT A",NNE,,H4NY18109,,,,,,,
21,"STEFANIK, ELISE M.",REP,21,H4NY21079,,1,,O,7/2/1984,https://en.wikipedia.org/wiki/Elise_Stefanik,
124,"SUNDWALL, ERIC",LIB,,H6NY20191,,,,,,,
8,"TASINI, JONATHAN",DEM,,H0NY15137,,,,,,,
29,"TAUB, ASHER E",REP,6,H0NY06045,1,0,C,,NA,,
54,"TENNEY, CLAUDIA",REP,,H4NY22051,,,,,,,
22,"TOLDA, ANTHONY E",REP,,H0NY02168,0,0,,,,,
2,"TONKO, PAUL DAVID",DEM,"21,20",H8NY21203,1,1,I,I,6/18/1949,https://ballotpedia.org/Paul_Tonko,
45,"TOWNS, EDOLPHUS",DEM,10,H2NY11017,1,0,I,,7/21/1934,https://ballotpedia.org/Ed_Towns,
119,"TURNER, ROBERT L",REP,9,H0NY09072,1,0,C,,5/2/1941,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000471,"This was recorded as district 0, not 9"
118,"VASQUEZ, MICHAEL",REP,,H4NY22044,,,,,,,
69,"VELAZQUEZ, NYDIA M.",DEM,"12,7",H2NY00010,2,1,I,I,3/28/1958,,
72,"WALROND, MICHAEL A",DEM,,H4NY13050,,,,,,,
92,"WASSERMAN, PAUL STUART",REP,,H0NY18156,,,,,,,
23,"WEINER, ANTHONY D MR",DEM,9,H8NY09091,1,0,I,,9/4/1964,https://ballotpedia.org/Anthony_Weiner,
48,"WEPPNER, KATHLEEN",REP,26,H4NY26052,,1,,C,NA,,
131,"WOOLF, AARON",DEM,21,H4NY21103,,1,,O,NA,,
50,"ZELDIN, LEE M",REP,1,H8NY01148,0,1,,C,1/30/1980,https://ballotpedia.org/Lee_Zeldin,
70,"ZELLER, MATTHEW",DEM,29,H0NY29062,1,,O,,6/30/1982,http://www.the-leader.com/article/20101024/NEWS/310249942,Article says age
59,"ZIEGLER, PATRICK",REP,,H0NY20103,,,,,,,
63,"ZINNO, PETER A",REP,,H0NY04065,0,0,,,,,
,Frank Della Valle,REP,16,,1,,C,,NA,,
,Phillip Fedele,DEM,26,,1,,C,,6/30/1938,http://williamsville.wgrz.com/content/accidental-candidate-congress,Article says age
,Diana Muniz,REP,10,,1,,C,,NA,,
,"Brady, Ross",REP,10,,,1,,C,6/30/1970,https://ballotpedia.org/Ross_Brady,From college graduation
,"Carr, Hugh",REP,11,,1,,C,,,,
